[i] Train : 3002
[i] Valid : 333
[i] Test : 210
[i] restored imagenet parameters (VGG16)
[i] iter : 10300, loss : 0.8346, class_loss = 0.4193, l2_reg_loss : 0.4154, time : 160sec
[i] iter : 10400, loss : 0.8469, class_loss = 0.4274, l2_reg_loss : 0.4195, time : 161sec
[i] iter : 10500, loss : 0.8436, class_loss = 0.4193, l2_reg_loss : 0.4243, time : 160sec
[i] iter : 10600, loss : 0.8417, class_loss = 0.4117, l2_reg_loss : 0.4300, time : 158sec
[i] iter : 10700, loss : 0.8450, class_loss = 0.4096, l2_reg_loss : 0.4353, time : 161sec
[i] iter : 10800, loss : 0.8533, class_loss = 0.4131, l2_reg_loss : 0.4402, time : 159sec
[i] iter : 10900, loss : 0.8652, class_loss = 0.4178, l2_reg_loss : 0.4475, time : 161sec
[i] iter : 11000, loss : 0.8656, class_loss = 0.4124, l2_reg_loss : 0.4532, time : 160sec
[i] valid meanIU : 4.45%, best valid meanIU : 4.45%
[i] iter : 11100, loss : 0.8734, class_loss = 0.4135, l2_reg_loss : 0.4598, time : 180sec
[i] iter : 11200, loss : 0.8967, class_loss = 0.4306, l2_reg_loss : 0.4661, time : 161sec
[i] iter : 11300, loss : 0.8816, class_loss = 0.4113, l2_reg_loss : 0.4703, time : 161sec
[i] iter : 11400, loss : 0.8800, class_loss = 0.4056, l2_reg_loss : 0.4743, time : 160sec
[i] iter : 11500, loss : 0.8811, class_loss = 0.4018, l2_reg_loss : 0.4793, time : 161sec
[i] iter : 11600, loss : 0.8708, class_loss = 0.3869, l2_reg_loss : 0.4839, time : 159sec
[i] iter : 11700, loss : 0.8984, class_loss = 0.4094, l2_reg_loss : 0.4890, time : 162sec
[i] iter : 11800, loss : 0.9248, class_loss = 0.4261, l2_reg_loss : 0.4986, time : 161sec
[i] iter : 11900, loss : 0.8987, class_loss = 0.3928, l2_reg_loss : 0.5059, time : 161sec
